id,name,host_id,host_name,zip_code,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7744402,Denver Highlands Historic Townhome,14977250,Jessica,Highland,39.76440074,-105.0184673,Entire home/apt,120,2,1,1/3/2016,0.21,1,0
921485,Stylish & Historic LoHi Loft w/ Views and Parking,3378084,Alexandra,Highland,39.7589256,-105.0163733,Entire home/apt,149,3,39,5/14/2016,1.02,2,298
5218861,Great location on the Platte River,22988218,Anne,Highland,39.75803242,-105.007595,Entire home/apt,175,2,0,,,1,231
4554445,Carriage House in Potter Highlands,23611528,Gabor,Highland,39.76151842,-105.0192628,Entire home/apt,130,3,7,2/27/2016,0.56,1,217
9526342,Private room & connected loft,5990252,Kristie,Highland,39.7677095,-105.0206792,Private room,85,1,2,12/1/2015,0.34,2,365
10599633,Best Location! LowerHighlands!,54693089,Jeremiah,Highland,39.76179518,-105.0169069,Entire home/apt,79,2,21,5/9/2016,5.38,1,318
10343072,Walk to EVERYTHING in Trendy LoHi,47859549,Allison,Highland,39.76858688,-105.0110262,Entire home/apt,180,1,25,5/15/2016,7.28,2,298
7576082,Hip Urban Loft in Lower Highlands,17241225,New,Highland,39.76298837,-105.0169532,Entire home/apt,175,1,1,9/8/2015,0.12,1,0
11984652,LoHi Condo - Heart of Denver!,12081457,Quan,Highland,39.7605045,-105.0111659,Entire home/apt,135,1,0,,,1,24
7594762,Lower Highlands (LoHi) Townhouse,39826780,Adam,Highland,39.76668894,-105.0131254,Entire home/apt,225,2,4,4/10/2016,1.26,1,350
5769722,1-Bedroom apartment LoHi Denver ,29932799,Kyle,Highland,39.76325186,-105.0153722,Entire home/apt,130,1,0,,,1,0
4795609,Hip Condo in trendy Lower Highlands,24713244,Mickey,Highland,39.76103037,-105.0114688,Entire home/apt,235,2,6,1/31/2016,0.77,1,88
9523086,Best Location/Most Comfortable Bed,49300516,Eric,Highland,39.76530478,-105.0099795,Private room,63,2,10,5/9/2016,1.71,1,341
4817072,Downtown Cozy Cottage 2BD,3404287,Matt And Mandy,Highland,39.76098306,-105.0119158,Entire home/apt,137,1,64,5/10/2016,3.97,1,302
11123088,Denver Highlands Haven,57793441,Sean,Highland,39.75901227,-105.0248861,Entire home/apt,139,1,6,5/15/2016,2.77,1,326
665622,Walk to everything Downtown- 2 BR,3364096,Becky,Highland,39.76091053,-105.0120544,Entire home/apt,150,1,366,5/14/2016,8.07,1,284
8086875,Breathtaking Views of Denver,40490982,Jason,Highland,39.76577711,-105.0080204,Entire home/apt,275,2,4,5/15/2016,4,1,300
9387873,NEW Modern Townhome in LoHi!,27508613,Kevin,Highland,39.7612182,-105.0091739,Entire home/apt,485,4,0,,,1,0
4516278,Bright LOHI/Downtown Condo w/ View!,23415904,Jackie,Highland,39.76009352,-105.0118675,Private room,90,2,5,5/7/2016,0.43,1,314
1909813,Cute renovated cottage in hip LoHi,8879006,Scott & Sarah,Highland,39.76473641,-105.0017862,Entire home/apt,140,1,15,1/9/2016,0.51,1,149
6671563,"Adorable LoHi House,Dog Friendly",34918160,Erin,Highland,39.76869908,-105.0022235,Entire home/apt,100,3,1,6/30/2015,0.09,1,0
7205403,Stunning Townhouse - Best location!,10411487,Kit,Highland,39.76130713,-105.0141893,Entire home/apt,169,1,12,5/1/2016,1.15,2,314
10923097,"LoHi townhome, hip/cool/convenient!",30064096,Lane,Highland,39.76044463,-105.0144767,Entire home/apt,100,7,2,3/18/2016,0.74,1,259
12377085,Hip and Cozy Highlands Condo,3415508,Gabrielle,Highland,39.76512428,-105.0151315,Entire home/apt,65,14,0,,,1,0
9951890,Beautiful Private Queen ensuite,10411487,Kit,Highland,39.76107519,-105.0135029,Private room,47,1,6,5/9/2016,1.75,2,318
9431190,Charming House in Denver's LoHi,5990252,Kristie,Highland,39.7692377,-105.0229047,Entire home/apt,260,1,3,2/22/2016,0.63,2,348
10312401,Walking Distance to Dtown/Highlands,26242355,John,Highland,39.76058694,-105.0162734,Shared room,55,1,2,3/23/2016,0.91,1,365
8226466,Alcove Studio in perfect location,34285665,Justin,Highland,39.75840002,-105.0160057,Entire home/apt,100,1,7,10/27/2015,0.93,1,0
12672697,Denver Highlands gem!,19413643,Jillian,Highland,39.76812157,-105.0215741,Entire home/apt,135,1,0,,,1,350
9577921,Love LoHi Living,6862130,Brian,Highland,39.76073161,-105.0078236,Entire home/apt,99,2,5,4/11/2016,0.88,1,136
12848712,Highlands Home Sleeps 8!,70212538,Alena,Highland,39.7681271,-105.0112323,Entire home/apt,99,1,0,,,1,337
4270789,Great Location. Close to downtown!,12431438,Courtney,Highland,39.76785507,-105.0242892,Entire home/apt,125,2,45,5/13/2016,2.4,1,293
535477,Bed n Bath Suite-Craftsman Bungalow,2630797,Tom,Highland,39.76690982,-105.0156989,Private room,65,2,193,5/16/2016,4.07,1,339
